date,route,route_label,anisotropy
2018-04-01,D,Diagonal,4.237774614035019
2018-05-01,D,Diagonal,4.047720935795968
2018-06-01,D,Diagonal,3.805782259599681
2018-07-01,D,Diagonal,3.479013727269846
2018-08-01,D,Diagonal,3.471386383542123
2018-09-01,D,Diagonal,3.6327778670992696
2018-10-01,D,Diagonal,3.5588675545879935
2018-11-01,D,Diagonal,3.3858458314472584
2018-12-01,D,Diagonal,3.473708528017644
2019-01-01,D,Diagonal,3.3366256538250547
2019-02-01,D,Diagonal,3.3093675003781593
2019-03-01,D,Diagonal,3.3280657638907702
2019-04-01,D,Diagonal,3.1802456091733404
2019-05-01,D,Diagonal,3.3103213370010134
2019-06-01,D,Diagonal,3.437594735940081
2019-07-01,D,Diagonal,3.463008240069972
2019-08-01,D,Diagonal,3.328678802078897
2019-09-01,D,Diagonal,3.4910241852422073
2019-10-01,D,Diagonal,3.5357544709734454
2019-11-01,D,Diagonal,3.5738862328685554
2019-12-01,D,Diagonal,3.560769165701812
2020-01-01,D,Diagonal,3.8189452557671375
2020-02-01,D,Diagonal,4.03852521093607
2020-03-01,D,Diagonal,4.267874151059544
2020-04-01,D,Diagonal,4.363409268104633
2020-05-01,D,Diagonal,4.324365359144147
2020-06-01,D,Diagonal,4.25817278074402
2020-07-01,D,Diagonal,4.14935587820018
2020-08-01,D,Diagonal,3.9879240980763613
2020-09-01,D,Diagonal,3.755136643338453
2020-10-01,D,Diagonal,3.5015118700174637
2020-11-01,D,Diagonal,3.2510607541193868
2020-12-01,D,Diagonal,3.1230439904121186
2021-01-01,D,Diagonal,3.2333346542202555
2021-02-01,D,Diagonal,3.53869397561143
2021-03-01,D,Diagonal,3.9055105827421537
2021-04-01,D,Diagonal,4.217271131257338
2021-05-01,D,Diagonal,4.440073624527408
2021-06-01,D,Diagonal,4.174556714566021
2021-07-01,D,Diagonal,4.198089067387106
2021-08-01,D,Diagonal,4.380787831513966
2021-09-01,D,Diagonal,4.6412028617766525
2021-10-01,D,Diagonal,4.288381915753013
2021-11-01,D,Diagonal,4.108787320865111
2021-12-01,D,Diagonal,3.816826593522083
2022-01-01,D,Diagonal,3.690283870655693
2022-02-01,D,Diagonal,3.8720559979621223
2022-03-01,D,Diagonal,4.2198378993158805
2022-04-01,D,Diagonal,4.124390595295303
2022-05-01,D,Diagonal,4.343052588955681
2022-06-01,D,Diagonal,4.115475316365416
2022-07-01,D,Diagonal,4.212201757458634
2022-08-01,D,Diagonal,4.085051411761726
2022-09-01,D,Diagonal,4.266576344870141
2022-10-01,D,Diagonal,4.1285184979051195
2022-11-01,D,Diagonal,4.2838383624347856
2022-12-01,D,Diagonal,3.8068495901580617
2023-01-01,D,Diagonal,3.581082012051023
2023-02-01,D,Diagonal,3.645445279582675
2023-03-01,D,Diagonal,3.9582468015077334
2023-04-01,D,Diagonal,3.8846576998834816
2023-05-01,D,Diagonal,4.026275837681429
2023-06-01,D,Diagonal,4.317413947079765
2023-07-01,D,Diagonal,4.590342275535793
2023-08-01,D,Diagonal,5.17663217245579
2023-09-01,D,Diagonal,5.8672947430310645
1993-11-01,H,HAC,7.03262208536891
1993-12-01,H,HAC,6.897496829492853
1994-01-01,H,HAC,6.63550477753783
