date,tau_soft_diagonal_old,shape_rms_diagonal_old,weight_ess_diagonal_old,tau_soft_hac_filtered,shape_rms_hac_filtered,weight_ess_hac_filtered,tau_soft_volterra_nonlinear,shape_rms_volterra_nonlinear,weight_ess_volterra_nonlinear
1994-04-01,1.1758727828035076,1.0865852527144473,14.000479141058486,0.9069348952329664,1.634732713824641,11.861491451273766,0.9095005709512167,1.6662064266462207,11.323177325658069
1994-05-01,1.08791144344321,1.040352623958934,14.003572750142533,0.8765296939475958,1.5548758313522815,12.54031899737815,0.8751772008489711,1.5756671204586525,12.25872808421791
1994-06-01,0.9688606212069004,0.9872149232977938,14.005431571691775,0.8570866865937043,1.4790331286762428,13.035580882810793,0.8552795417259045,1.4993946393020068,12.712645075259564
1994-07-01,0.9268983828577652,0.9480108520707407,14.006545209174785,0.8417266605164964,1.3975206749566218,13.379207039890545,0.8390544642099923,1.4112406651470022,13.064120264994061
1994-08-01,0.8948408739804794,0.9165289916366842,14.007210675180596,0.8385352247150246,1.3154915116738304,13.608857643615412,0.836291668599078,1.3305555704844902,13.27248864069983
1994-09-01,0.9325224835640201,0.9068097824492667,14.007607409496226,0.8460006977971456,1.2337607471978504,13.758169027139022,0.8441634783560023,1.2321257420674878,13.426288028744327
1994-10-01,0.9186397255659128,0.8803168613084013,14.007843436727224,0.866673355987701,1.164198744675146,13.853307236047563,0.8660780723697764,1.1633516851325574,13.584536542429726
1994-11-01,0.9768204122190458,0.8763028263048889,14.007983587259446,0.8886201952367879,1.0958744028009282,13.913030315661954,0.8906783994229671,1.119341682536297,13.57622127034347
1994-12-01,0.9839557433262368,0.8558745058161294,14.008066661811908,0.9110328825441072,1.0366363716934506,13.950104008819881,0.9151054019681675,1.0410685720350763,13.728426902531838
1995-01-01,0.9496927706661351,0.844066614632992,14.008115825337677,0.9153198195023581,0.9791174601807187,13.972920747592601,0.9155264376615743,0.965548061341946,13.21946038237759
1995-02-01,0.8464118796422626,0.7989946203947162,14.008144877163597,0.9360497351219842,0.9808552952526269,13.986868280806721,0.9369003698348678,0.9720909888147666,13.270178022979596
1995-03-01,0.8108279208038383,0.76054824952686,14.00816202094829,0.9743221686874917,1.0328400357057574,13.995347584543065,0.9762297875677581,1.0271460276027617,13.460833063041978
1995-04-01,0.8357137151266801,0.7466596050163087,14.008172124756324,0.9916681494361006,1.0767753558381197,14.000479141058486,0.9934016022098062,1.073207124310095,13.603688366345255
1995-05-01,0.9163371898884176,0.7684640319411972,14.008178072420138,0.994864627579689,1.121046422702342,14.003572750142533,0.996143543116635,1.1181891032182463,13.6825474065437
1995-06-01,1.067566001719568,0.8246464214216946,14.00818156965433,0.9929203092859729,1.1751030227601065,14.005431571691775,0.9944295215181526,1.1753123436660053,13.716987674739697
1995-07-01,1.1477283038664077,0.8972054269150334,14.008183623892263,0.9786694316409434,1.235210498816949,14.006545209174785,0.9807184410065152,1.249501966578447,13.550370886704744
1995-08-01,1.1056677891176165,0.9741504157519058,14.008184829351078,0.946796675878247,1.2779178810191592,14.007210675180596,0.9468052057136119,1.285893054165596,13.632917693312121
1995-09-01,0.9933448036672046,1.0227720832073557,14.008185536083458,0.8966053976253396,1.2918152298056162,14.007607409496226,0.8946145202738204,1.2958161191160982,13.661618742803533
1995-10-01,0.8233629456784116,1.0298582507595906,14.008185950065705,0.8600842658941592,1.3118944562211041,14.007843436727224,0.8576007200475311,1.313489798924548,13.675184467353368
1995-11-01,0.7038521227541372,1.0384513092912848,14.008186192365901,0.8395361479229839,1.327046385251532,14.007983587259446,0.8380944768678122,1.3277185775715694,13.68215372367141
1995-12-01,0.6381165410414369,1.0621701816042595,14.008186334072665,0.8307348574340715,1.329693667478074,14.008066661811908,0.8312646553088622,1.32937634231741,13.680909018790128
1996-01-01,0.6122093308935629,1.1041206741641914,14.008186416887861,0.8229954139121833,1.3662113131646036,14.008115825337677,0.8241907269593656,1.3635768151030279,13.744593800766381
1996-02-01,0.6320955035522207,1.1696267399337676,14.008186465252578,0.8008251327739558,1.3746788492565951,14.008144877163597,0.7991822691806576,1.3714436923167914,13.7228873610454
1996-03-01,0.6414105221446457,1.2413522734375586,14.008186493479371,0.7879456379936193,1.417082044603024,14.00816202094829,0.7814154989651209,1.420948619821834,13.37473475167901
1996-04-01,0.6240639908477903,1.299697846002612,14.008186509942902,0.7939542506503134,1.4759939276514835,14.008172124756324,0.7831202435050907,1.48876751251756,12.926032767266475
1996-05-01,0.6200506306147096,1.371226431106911,14.008186519539693,0.8159950298806472,1.5351189826015696,14.008178072420138,0.8071018177064827,1.5464820213612418,13.052588264109476
