date,MP_event_manual,CBI_event_manual,MP_pm_sum,CBI_pm_sum,fallback_event,n_events,nonmissing_median_events,missing_median_events,mixed_missing_and_nonmissing_events
2003-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2003-03-01,0.02912005,-0.02208686,0.00703319,0.0,False,1.0,1.0,0.0,False
2003-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2003-05-01,-0.05273812,-0.03746038,-0.0901985,0.0,False,1.0,1.0,0.0,False
2003-06-01,0.08322515,0.05899084,0.14221599,0.0,False,1.0,1.0,0.0,False
2003-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2003-08-01,-0.01272344,-0.02176399,0.0,-0.03448743,False,1.0,1.0,0.0,False
2003-09-01,-0.00760348,0.00420376,-0.00339972,0.0,False,1.0,1.0,0.0,False
2003-10-01,-0.04006522,-0.04166208,0.0,-0.0817273,False,1.0,1.0,0.0,False
2003-11-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2003-12-01,0.02110906,0.0073501,0.02845916,0.0,False,1.0,1.0,0.0,False
2004-01-01,0.11741226,0.00883696,0.12624922,0.0,False,1.0,1.0,0.0,False
2004-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2004-03-01,-0.02628895,-0.03257582,0.0,-0.05886477,False,1.0,1.0,0.0,False
2004-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2004-05-01,-0.01852312,0.02465221,0.0,0.00612909,False,1.0,1.0,0.0,False
2004-06-01,-0.02951402,0.00213677,-0.02737725,0.0,False,1.0,1.0,0.0,False
2004-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2004-08-01,0.04273725,0.00697723,0.04971448,0.0,False,1.0,1.0,0.0,False
2004-09-01,-0.00882984,-0.00536407,-0.01419391,0.0,False,1.0,1.0,0.0,False
2004-10-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2004-11-01,-0.02114236,-0.00724383,-0.02838619,0.0,False,1.0,1.0,0.0,False
2004-12-01,-0.01111769,-0.0034327,-0.01455039,0.0,False,1.0,1.0,0.0,False
2005-01-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2005-02-01,-0.00813078,-0.00584906,-0.01397984,0.0,False,1.0,1.0,0.0,False
2005-03-01,0.05390887,0.01374744,0.06765631,0.0,False,1.0,1.0,0.0,False
2005-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2005-05-01,-0.0339111,0.0395441,-0.02077467,0.02640767,False,2.0,2.0,0.0,False
2005-06-01,0.04792712,-0.0009543,0.04697282,0.0,False,1.0,1.0,0.0,False
2005-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2005-08-01,-0.02260494,0.00274007,-0.01986487,0.0,False,1.0,1.0,0.0,False
2005-09-01,0.02123639,0.00347584,0.02471223,0.0,False,1.0,1.0,0.0,False
2005-10-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2005-11-01,-0.00973451,0.01619363,0.0,0.00645912,False,1.0,1.0,0.0,False
2005-12-01,-0.04470098,0.01759046,-0.02711052,0.0,False,1.0,1.0,0.0,False
2006-01-01,0.0284123,0.00143969,0.02985199,0.0,False,1.0,1.0,0.0,False
2006-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2006-03-01,0.05973775,-0.01372692,0.04601083,0.0,False,1.0,1.0,0.0,False
2006-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2006-05-01,0.03680535,0.01396563,0.05077098,0.0,False,1.0,1.0,0.0,False
2006-06-01,-0.05350704,0.01054565,-0.04296139,0.0,False,1.0,1.0,0.0,False
2006-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2006-08-01,-0.00567109,-0.03487574,0.0,-0.04054683,False,1.0,1.0,0.0,False
2006-09-01,0.02474898,-0.00692428,0.0178247,0.0,False,1.0,1.0,0.0,False
2006-10-01,-0.00081018,-0.00965082,0.0,-0.010461,False,1.0,1.0,0.0,False
2006-11-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2006-12-01,-0.03157464,-0.00069151,-0.03226615,0.0,False,1.0,1.0,0.0,False
2007-01-01,-0.03251187,0.02445436,-0.00805751,0.0,False,1.0,1.0,0.0,False
2007-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2007-03-01,-0.08995576,0.00660531,-0.08335045,0.0,False,1.0,1.0,0.0,False
2007-04-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2007-05-01,0.02624653,0.01032887,0.0365754,0.0,False,1.0,1.0,0.0,False
2007-06-01,0.02221391,-0.01015132,0.01206259,0.0,False,1.0,1.0,0.0,False
2007-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2007-08-01,0.05211784,-0.09619781,-0.01962905,-0.02445092,False,3.0,3.0,0.0,False
2007-09-01,-0.18063154,-0.02446057,-0.20509211,0.0,False,1.0,1.0,0.0,False
2007-10-01,0.05128583,0.00216665,0.05345248,0.0,False,1.0,1.0,0.0,False
2007-11-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2007-12-01,0.12345881,-0.08563301,0.0378258,0.0,False,1.0,1.0,0.0,False
2008-01-01,-0.1086811,-0.01229983,-0.12098093,0.0,True,2.0,1.0,1.0,True
2008-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2008-03-01,0.048878939999999996,0.10537676,0.05247882,0.10177688,False,2.0,2.0,0.0,False
2008-04-01,-0.04946295,-0.03019071,-0.07965366,0.0,False,1.0,1.0,0.0,False
2008-05-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2008-06-01,-0.02870171,-0.02468947,-0.05339118,0.0,False,1.0,1.0,0.0,False
2008-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2008-08-01,-0.02594723,-0.01005915,-0.03600638,0.0,False,1.0,1.0,0.0,False
2008-09-01,0.09000567,0.0155486,0.10555427,0.0,False,1.0,1.0,0.0,False
2008-10-01,0.02701201,-0.10632396,0.0,-0.07931195,True,2.0,1.0,1.0,True
2008-11-01,-0.14326451,0.05079562,-0.09246889,0.0,False,1.0,1.0,0.0,False
2008-12-01,-0.21803775,-0.02957252,-0.24761027,0.0,False,1.0,1.0,0.0,False
2009-01-01,0.00641096,-0.01692673,0.0,-0.01051577,False,1.0,1.0,0.0,False
2009-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2009-03-01,-0.13734412,0.07653827,-0.06080585,0.0,False,1.0,1.0,0.0,False
2009-04-01,-0.02841811,0.04526419,0.0,0.01684608,False,1.0,1.0,0.0,False
2009-05-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2009-06-01,0.05945053,-0.02100717,0.03844336,0.0,False,1.0,1.0,0.0,False
2009-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2009-08-01,0.00856286,-0.02270942,0.0,-0.01414656,False,1.0,1.0,0.0,False
2009-09-01,-0.07525592,-0.01272201,-0.08797793,0.0,False,1.0,1.0,0.0,False
2009-10-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2009-11-01,-0.01754564,-0.00734826,-0.0248939,0.0,False,1.0,1.0,0.0,False
2009-12-01,0.00389324,-0.0022706,0.00162264,0.0,False,1.0,1.0,0.0,False
2010-01-01,0.00812921,0.01955084,0.0,0.02768005,False,1.0,1.0,0.0,False
2010-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2010-03-01,-0.02932954,-0.00649456,-0.0358241,0.0,False,1.0,1.0,0.0,False
2010-04-01,-0.01323657,0.00651472,-0.00672185,0.0,False,1.0,1.0,0.0,False
2010-05-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2010-06-01,-0.01862923,0.02240633,0.0,0.0037771,False,1.0,1.0,0.0,False
2010-07-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2010-08-01,-0.04921364,0.0312819,-0.01793174,0.0,False,1.0,1.0,0.0,False
2010-09-01,-0.03793715,0.03227822,-0.00565893,0.0,False,1.0,1.0,0.0,False
2010-10-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
2010-11-01,0.01687414,-0.01873329,0.0,-0.00185915,False,1.0,1.0,0.0,False
2010-12-01,-0.00309579,-0.00157583,-0.00467162,0.0,False,1.0,1.0,0.0,False
2011-01-01,0.0007705,-0.00871481,0.0,-0.00794431,False,1.0,1.0,0.0,False
2011-02-01,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,False
