date,date_month,lambda,q_full,q_5,exact_error,d_2,d_4,kappa5_2,kappa5_4,max_generalized_residual,solver_backend
2007-12-01,2007-12,0.1011637979766207,0.8592293491389904,0.07215813235465404,0.7870712167843363,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.10595601792776159,0.8539864493623366,0.07184517621552196,0.7821412731468146,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.11097524964120721,0.8485836654016775,0.07152029247786397,0.7770633729238136,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.11623224686798524,0.8430184929711925,0.07118315418279403,0.7718353387883985,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.12173827277396614,0.837288561944272,0.07083343648074933,0.7664551254635227,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.12750512407130135,0.8313916513120148,0.07047081777898477,0.76092083353303,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.13354515629298988,0.8253257046566962,0.07009498097340981,0.7552307236832864,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.13987131026472385,0.8190888460926945,0.06970561476517026,0.7493832313275243,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.14649713983072857,0.8126793966186014,0.06930241506167359,0.7433769815569279,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.15343684089300125,0.8060958908151046,0.06888508646096311,0.7372108043541414,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.16070528182616392,0.7993370938137626,0.06845334381746508,0.7308837499962976,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.16831803533309567,0.7924020184520618,0.06800691388616288,0.724395104565899,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.1762914118095948,0.785289942520296,0.06754553704119473,0.7177444054791013,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.18464249428955434,0.7780004259959064,0.0670689690637325,0.7109314569321739,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.1933891750455231,0.7705333281511308,0.06657698299278222,0.7039563451583486,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.20255019392306675,0.7628888244102825,0.06606937103126255,0.69681945337902,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.21214517849106299,0.7550674228238219,0.06554594649837535,0.6895214763254466,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.22219468609395238,0.7470699800178849,0.06500654581789725,0.6820634341999877,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.23272024789604084,0.7388977164701281,0.06445103053060885,0.6744466859395193,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.24374441501222205,0.7305522309559924,0.06387928931765818,0.6666729416383342,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.2552908068239518,0.7220355140038786,0.06329124002025095,0.6587442739836276,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.26738416158399464,0.71334996019351,0.06268683163969521,0.6506631285538148,0,0,,,0.0,scipy.linalg.eigh subset_by_value
2007-12-01,2007-12,0.2800503894183631,0.7044983791291767,0.06206604630053205,0.6424323328286446,0,0,,,0.0,scipy.linalg.eigh subset_by_value
