region,year,weight_sum,effective_obs,ridge_rho_effective,smoother_status,leave_out,state_index,solver_backend,max_generalized_residual,max_interval_residual,d_2,kappa5_2,max_distance5_2,median_distance5_2,d_4,kappa5_4,max_distance5_4,median_distance5_4
Middle Atlantic,1970,716.0811015007338,917.6076323541186,0.08,smoothed,none,40,scipy.linalg.eigh subset_by_value,1.2023688201659576e-13,1.2023688201659576e-13,3,0.0005943674119017753,0.9998742157682476,0.9996888369484772,1,0.0009093203132726686,0.9995452364384152,0.9995452364384152
Middle Atlantic,1971,824.7308950124702,1052.026147408401,0.08,smoothed,none,41,scipy.linalg.eigh subset_by_value,1.1391895001451086e-13,1.1391895001451086e-13,4,0.0012823775834531828,0.999856630051905,0.9996499980340604,1,0.0007590813271561887,0.9996203872835147,0.9996203872835147
Middle Atlantic,1972,905.6253137646585,1178.6499232116894,0.08,smoothed,none,42,scipy.linalg.eigh subset_by_value,8.50433558097037e-14,8.50433558097037e-14,6,0.002824185015458921,0.9998155525020982,0.9989408434060704,1,0.0029600319852097507,0.9985188871597723,0.9985188871597723
Middle Atlantic,1973,958.4733913978445,1282.0170168582135,0.08,smoothed,none,43,scipy.linalg.eigh subset_by_value,9.743605527270667e-14,9.743605527270667e-14,5,0.003335960048583223,0.9999930375230054,0.9995869985898594,2,0.00769005993004623,0.9988471852145345,0.9961438812831247
Middle Atlantic,1974,987.9956134166828,1353.5486827499203,0.08,smoothed,none,44,scipy.linalg.eigh subset_by_value,1.0692981343931774e-13,1.0692981343931774e-13,6,0.003124522887799148,0.9999949004417296,0.9994632743188545,2,0.0077909596927271665,0.9995527640358219,0.9960908872771503
Middle Atlantic,1975,1001.1105027456283,1394.930609458484,0.08,smoothed,none,45,scipy.linalg.eigh subset_by_value,1.132420291952449e-13,1.132420291952449e-13,5,0.0037280281687859565,0.9998433300966142,0.9987403880055769,3,0.005975757154078022,0.9987403880055769,0.9967361974109842
Middle Atlantic,1976,1004.4959409482364,1414.2716025444142,0.08,smoothed,none,46,scipy.linalg.eigh subset_by_value,1.1030145536818032e-13,1.1030145536818032e-13,5,0.006288530966394271,0.9998645294258628,0.9970637471365242,3,0.006118959292860153,0.9989795422427343,0.9970637471365242
Middle Atlantic,1977,1003.2742566829663,1420.387787078433,0.08,smoothed,none,47,scipy.linalg.eigh subset_by_value,1.0574514230846939e-13,1.0574514230846939e-13,6,0.14537290396200675,0.9997366434316706,0.9961381652860842,4,0.00888656006713309,0.9988190071019609,0.9961381652860842
Middle Atlantic,1978,1000.7532117843763,1420.1200067079496,0.08,smoothed,none,48,scipy.linalg.eigh subset_by_value,1.32788535500213e-13,1.32788535500213e-13,6,0.146222717594372,0.999790023504521,0.9937931299704832,4,0.012266924831215513,0.9989351760809551,0.9937931299704832
Middle Atlantic,1979,998.7689717995135,1418.2197001937327,0.08,smoothed,none,49,scipy.linalg.eigh subset_by_value,1.3540117608197928e-13,1.3540117608197928e-13,5,0.17530946294832297,0.999911227491274,0.9983965020668605,5,0.17530946294832297,0.999911227491274,0.9983965020668605
Middle Atlantic,1980,998.1959108247705,1417.6407401580102,0.08,smoothed,none,50,scipy.linalg.eigh subset_by_value,1.4989828193951291e-13,1.4989828193951291e-13,5,0.17523899838183826,0.9999762400804107,0.9887210110138508,4,0.21843446564883026,0.9999762400804107,0.9373481646757758
Middle Atlantic,1981,999.363945111173,1419.5699937103634,0.08,smoothed,none,51,scipy.linalg.eigh subset_by_value,1.5270852399934294e-13,1.5270852399934294e-13,6,0.14633491054811507,0.9994670477730893,0.9907550045681064,4,0.218215733292406,0.9994670477730893,0.9591705339232086
Middle Atlantic,1982,1002.2897241008134,1423.6203624400066,0.08,smoothed,none,52,scipy.linalg.eigh subset_by_value,1.781938072000347e-13,1.781938072000347e-13,6,0.14611980691306023,0.9996990645402152,0.9989485120582844,4,0.2181288151286312,0.9996990645402152,0.9899803173037127
Middle Atlantic,1983,1006.7467591475832,1428.5666920707376,0.08,smoothed,none,53,scipy.linalg.eigh subset_by_value,1.933971702504848e-13,1.933971702504848e-13,6,0.1461158989588675,0.9999926962564124,0.9992682181059095,4,0.21845876326174776,0.9999436158140158,0.9992682181059095
Middle Atlantic,1984,1012.2717557988435,1433.4503136699418,0.08,smoothed,none,54,scipy.linalg.eigh subset_by_value,1.951516146803486e-13,1.951516146803486e-13,5,0.17478016531499413,0.9996405474374795,0.9993310608419039,4,0.2182955126640186,0.9996163159768432,0.9991190204581784
