rank,max_exact_error,max_capped_ritz_bound,max_uncapped_ritz_bound,retained_probe_mass
26,0.21867595954148603,0.595068879567814,0.595068879567814,0.4049981302130996
27,0.21163408928665284,0.5803933286964671,0.5803933286964671,0.4196737293779141
28,0.2046441429407185,0.5657901033332221,0.5657901033332221,0.43427818762822556
29,0.19774754236304504,0.5513172696837554,0.5513172696837554,0.44875424346764786
30,0.1909817647801391,0.5370223681867224,0.5370223681867224,0.46304954998513664
31,0.18425981672831532,0.5227908620783376,0.5227908620783376,0.47728429890032553
32,0.17768289674874665,0.5087557667326247,0.5087557667326247,0.4913174291859136
33,0.17118984358906641,0.4948387660340686,0.4948387660340686,0.5052335883257999
34,0.1649422912582717,0.48126550588423456,0.48126550588423456,0.518804997014544
35,0.1588063796046102,0.467852101698399,0.467852101698399,0.5322184007764776
36,0.15268542382922767,0.4544598312116191,0.4544598312116191,0.5456107098952467
37,0.14660916693794207,0.4411294752963439,0.4411294752963439,0.5589395488435895
38,0.14066891509944224,0.42799143903214726,0.42799143903214726,0.5720746256400945
39,0.13478878252775017,0.41494231025845923,0.41494231025845923,0.5851236557796345
40,0.12899643393686022,0.40201801823557665,0.40201801823557665,0.5980467731734009
41,0.12327275883833505,0.38919233130120007,0.38919233130120007,0.6108709258117149
42,0.11779258846776014,0.37672229985050637,0.37672229985050637,0.6233420486348106
43,0.11252350607626849,0.36456016788340384,0.36456016788340384,0.635503768657828
44,0.10733430562351015,0.35251556899932285,0.35251556899932285,0.6475475322309724
45,0.10224386304713373,0.34061571971253424,0.34061571971253424,0.659444899833368
46,0.0972888490701947,0.3289199992474334,0.3289199992474334,0.671140234546948
47,0.09242778527775058,0.31736601895088656,0.31736601895088656,0.68269451071432
48,0.08764407571744903,0.30592745354399936,0.30592745354399936,0.6941321233707303
49,0.0829849081297579,0.294678545548549,0.294678545548549,0.7053807827697555
50,0.07849218588241652,0.283685142515359,0.283685142515359,0.716374773326068
51,0.0741300738495736,0.2728901937373237,0.2728901937373237,0.727167140167937
52,0.07013791449446216,0.26267839725909986,0.26267839725909986,0.7373788320441592
53,0.06628157264049306,0.25268029487158955,0.25268029487158955,0.7473735767657396
54,0.06257176327539482,0.24292070524225448,0.24292070524225448,0.7571317174127571
55,0.05906604633752749,0.23349407301171277,0.23349407301171277,0.7665556465401498
56,0.055639705491575875,0.22420133531991432,0.22420133531991432,0.7758481041799545
57,0.05232938930211134,0.21510272052124665,0.21510272052124665,0.7849466748227596
58,0.049303523800936444,0.20648720634082107,0.20648720634082107,0.7935608615790564
59,0.046387226216156874,0.19806331559054657,0.19806331559054657,0.801984784984386
60,0.04364942874021571,0.18995424509653056,0.18995424509653056,0.810093853260433
61,0.04097006258266028,0.1819478689817569,0.1819478689817569,0.8180984738885353
62,0.03841353878197684,0.17416394092576992,0.17416394092576992,0.8258810316956839
63,0.03589721894477077,0.16645373034491473,0.16645373034491473,0.8335901791884848
64,0.03344983881373903,0.15887126628698792,0.15887126628698792,0.8411725592663359
65,0.031094966400125768,0.15146046701180574,0.15146046701180574,0.8485829945468633
66,0.028854188347065546,0.1442646216363494,0.1442646216363494,0.8557782145654396
67,0.026740745574573566,0.13730989398705443,0.13730989398705443,0.8627289769979675
68,0.024737166456517024,0.1305735450070599,0.1305735450070599,0.8694648297098299
69,0.02288912554704392,0.12414909166554342,0.12414909166554342,0.8758892372543657
70,0.021175578954395202,0.1180011294524285,0.1180011294524285,0.8820370339153155
71,0.01954233202815442,0.11202180593935368,0.11202180593935368,0.8880160544114662
72,0.018012281951087783,0.1062627286181358,0.1062627286181358,0.8937737829919923
73,0.0165017115192837,0.1005472416878858,0.1005472416878858,0.8994891427547673
74,0.015034405747127666,0.09492364626993617,0.09492364626993617,0.9051097067612757
75,0.01369893677293571,0.08959828363254298,0.08959828363254298,0.9104349024997628
76,0.012487298724771445,0.08455892611427276,0.08455892611427276,0.9154727782724023
77,0.011279800064083079,0.07953078231165543,0.07953078231165543,0.9205008434445722
78,0.010201831318599919,0.07481569487827042,0.07481569487827042,0.9252159705901903
79,0.00917830699571992,0.07023572650168058,0.07023572650168058,0.9297952897035178
80,0.008226619150456027,0.06583870930589804,0.06583870930589804,0.9341912188131016
81,0.00740315924184437,0.061782525201725426,0.061782525201725426,0.938245751697157
82,0.006677654665984356,0.05800067909428241,0.05800067909428241,0.942025192595115
83,0.005972080325262086,0.054278669838111346,0.054278669838111346,0.9457468882645969
84,0.005330915614339848,0.050748198351875766,0.050748198351875766,0.9492773136983598
85,0.004713937742678975,0.04728954162193595,0.04728954162193595,0.952733921000889
